tweet_tokenized,Sentiment,NB,SVM,DF
"['irja', 'sugiriendo', 'problema', 'votar', 'votar', 'dilema', 'usas', 'ejemplo', 'cierto', 'votar', 'estrategia', 'sirvió', 'solo', 'falta', 'indicar', 'votar', 'varias', 'veces', 'estrategia', 'tampoco', 'entonces', 'problema', 'estrategia', 'voto', 'abstención']",Neutral,0,0,0
"['tolosalila', '¿mis', 'palabras', 'realidad', 'país']",Neutral,0,0,0
"['gracias', 'lacelis', 'nelsonbocaranda', 'invitación', 'conversar', 'estudio', 'perfil', 'consumidor', 'presentaremos', 'próximo', 'junio', 'pm', 'eventos', 'datanalisis', 'com', 'datanalisis', 'vemos', 'ahí']",Neutral,0,0,0
"['muchas', 'gracias']",Neutral,0,0,0
"['parece', 'importante', 'hagan', 'caso', 'racionalidad', 'política', 'intereses', 'personale', 'encuestas', 'instrumento', 'ayuda', 'decisiones', 'nunca', 'reemplazarán', 'lógica']",Neutral,0,0,0
"['prefiero', 'reconvertir', 'pregunta', 'enfocada', 'deben', 'venezolanos', 'luchar', 'desarrollar', 'estrategias', 'distintas', 'traído', 'acá', 'decir', 'vale', 'pena', 'insistir', 'mismo', 'llegará', 'obviamente', 'mismo']",Neutral,0,0,0
"['proceso', 'distorsionado', 'inflación', 'venezuela', 'multifactorial', 'supuesto', 'campo', 'especulación', 'base', 'problema', 'trata', 'combinación', 'pérdida', 'total', 'confianza', 'institucional', 'moneda', 'desequilibrio', 'fiscal']",Neutral,0,0,0
"['todas', 'partes', 'comienzan', 'negociación', 'política', 'económica', 'laboral', 'etc', 'comienzan', 'pidiendo', 'dispuestos', 'aceptar', 'va', 'pasar', 'gobierno', 'oposición', 'caso', 'diluye', 'negociación', 'si', 'ocurre']",Neutral,0,0,0
"['vacunas', 'chinas', 'rusas', 'suministradas', 'oficialmente', 'ahora', 'originales', 'aunque', 'insuficientes', 'entregadas', 'manera', 'sesgada', 'vengan', 'acuerdos', 'humanitarios', 'impecables', 'cerca', 'vacunas', 'bachaqueadas', 'peligro', 'incalculable']",Neutral,0,0,0
"['temprano', 'hacer', 'estimaciones', 'dependerá', 'resultado', 'negociaciones', 'cambios', 'condiciones', 'acuerdos', 'oposición', 'partidos', 'líderes', 'promuevan', 'observación', 'internacional', 'liberación', 'presos', 'políticos', 'inhabilitados']",Neutral,0,0,0
"['depende', 'expectativas', 'demanda', 'maduro', 'liberación', 'inmediata', 'sanciones', 'negociación', 'pública', 'posibilidad', 'lograrse', 'demanda', 'opositoras', 'convocar', 'elección', 'presidencial', 'transparente', 'rr', 'nula', 'acuerdos', 'posibles', 'medio']",Neutral,0,0,0
"['mayoría', 'contundente', 'población', 'quiere', 'negociación', 'política', 'resolver', 'problema', 'país', 'embargo', 'sólo', 'pequeña', 'minoría', 'confía', 'exitosa', 'ahora', 'mismo', 'lograr', 'objetivo', 'deseado', 'tan', 'importante', 'definir', 'expectativas', 'correctas']",Neutral,0,0,0
"['punto', 'relevante', 'estrategia', 'aislamiento', 'gol', 'vzlano', 'expulsa', 'amenaza', 'inversionistas', 'clásicos', 'termina', 'produciendo', 'evidente', 'desoccidentalización', 'país', 'cada', 'vez', 'penetrado', 'econ', 'políticamente', 'adversarios', 'occidente']",Neutral,0,0,0
"['búsqueda', 'central', 'proceso', 'negociación', 'política', 'probabilidades', 'ocurra', 'bastante', 'bajas', 'mas', 'probable', 'participación', 'parcial', 'siempre', 'débil']",Neutral,0,0,0
"['resultados', 'abstención', 'presidencial', 'parlamentaria', 'potentes', 'opinión', 'significa', 'participar', 'pasivamente', 'luchar', 'condiciones', 'unidad', 'opositora', 'plan', 'convertir', 'participación', 'acción', 'estrategia', 'ganadora']",Neutral,0,0,0
"['ver', 'cosa', 'encuestas', 'miden', 'encuestadores', 'quieren', 'desean', 'temen', 'miden', 'gente', 'piensa', 'vamos', 'decir', 'guste', 'trabajo', 'moleste', 'moleste']",Neutral,0,0,0
"['opo', 'control', 'territorial', 'puede', 'resolver', 'temas', 'internos', 'si', 'factor', 'determinante', 'obtener', 'ayuda', 'internacional', 'humanitaria', 'búsqueda', 'puede', 'parar', 'nunca', 'pese', 'bloqueadores', 'establezca', 'gob', 'tratan', 'primeras', 'negociaciones']",Neutral,0,0,0
"['falso', 'dilema', 'negociar', 'negociar', 'votar', 'votar', 'pregunta', 'vas', 'hacer', 'real', 'diferente', 'plano', 'político', 'vas', 'quedar', 'ahora', 'discursos', 'políticos', 'diplomáticos', 'amenazas', 'incumplibles', 'intentos', 'preservación', 'status', 'quo']",Neutral,0,0,0
"['sanciones', 'dividen', 'impacto', 'humanitario', 'negativo', 'presión', 'económica', 'gob', 'sanciones', 'personales', 'funcionarios', 'sólo', 'humanitarias', 'podrían', 'flexibilizarse', 'marco', 'previo', 'negociación', 'resto', 'instrumento', 'negociación', 'política']",Neutral,0,0,0
"['probabilidades', 'administración', 'biden', 'haga', 'giro', 'tan', 'profundo', 'lleve', 'establecer', 'alianzas', 'gob', 'maduro', 'bajo', 'cualquier', 'tesis', 'pasar', 'revalidación', 'democrática', 'poderes', 'vzla', 'nula']",Neutral,0,0,0
"['¿y', 'vas', 'lanzar', 'puesto', 'elección', 'popular', 'alguna', 'elección']",Neutral,0,0,0
"['máximo', 'podemos', 'decir', 'pesar', 'preferencia', 'pob', 'resolver', 'conflicto', 'través', 'elección', 'cambio', 'condiciones', 'reales', 'acuerdos', 'relevantes', 'abstención', 'seguirá', 'siendo', 'problema', 'mayor', 'quieren', 'participar', 'elecciones']",Neutral,0,0,0
"['maduro', 'participa', 'cualquier', 'negociación', 'interesa', 'mostrar', 'control', 'territorial', 'obligar', 'reconocimiento', 'contraparte', 'dominante', 'ver', 'legitimidad', 'mientras', 'mediática”', 'negociación', 'mejor', 'peor', 'negociación', 'real']",Neutral,0,0,0
"['minutos', 'preguntas', 'respuestas', 'comenzando', 'ahora', 'mismo']",Neutral,0,0,0
"['josegar', 'si', 'lees', 'análisis', 'arranca', 'precisamente', 'entregar', 'conjunto', 'decisiones', 'humanitarias', 'negocian', 'cuyo', 'centro', 'necesidades', 'poblacion', 'corrigen', 'precisamente', 'problema']",Neutral,0,0,0
"['oyds', 'quieren', 'liberación', 'tan', 'imposible', 'mismos', 'entreguen', 'poder', 'pues', 'forma', 'parte', 'poder', 'negociación', 'adversario', 'refiero', 'elementos', 'humanitarios', 'vitales', 'población']",Neutral,0,0,0
"['elementos', 'previos', 'deben', 'resolverse', 'inmediato', 'cómo', 'marco', 'negociacion', 'garantía', 'participación', 'política', 'amenazas', 'apertura', 'ayuda', 'humanitaria', 'parte', 'gobierno', 'flexibilización', 'sanciones', 'internacionales', 'impacto', 'humanitario']",Neutral,0,0,0
"['martinezq', 'jajaja', 'fa', 'dime', 'paso', 'buscarlos', 'hacen', 'burda', 'falta', 'avísales', 'enteren', 'jajaja', 'tantos', 'gafos', 'hacen', 'olas']",Neutral,0,0,0
"['obvio', 'fuerza', 'presionar', 'maduro', 'suficiente', 'conseguir', 'salida', 'pregunta', '¿y', 'puede', 'conseguir', 'entonces', '¿vale', 'pena', 'intentarlo', '¿qué', 'define', 'éxito', 'fracaso', 'nuevo', 'intentó']",Neutral,0,0,0
"['jlmovil', 'realmente', 'exactamente', 'dice', 'artículo', 'pasará', 'así', 'asumo', 'acuerdo', 'leíste']",Neutral,0,0,0
"['¿éxito', 'fracaso', 'negociaciones', 'depende', 'expectativas']",Neutral,0,0,0
"['placer', 'acompañar', 'fedeagro', 'sector', 'agrícola', 'hoy', 'convención', 'anual', 'sector', 'productivo', 'héroes', 'importantes', 'país', 'haciendo', 'esfuerzos', 'mantener', 'producción', 'abastecimiento', 'pese', 'graves', 'bloqueadores', 'enfrenta', 'gracias', 'ustedes']",Neutral,0,0,0
"['cierto', 'confiar', 'acuerdos', 'largo', 'plazo', 'vzla', 'podría', 'parecer', 'ingenuo', 'incluso', 'si', 'gob', 'planeara', 'irrespetar', 'luego', 'acuerdos', 'impacto', 'fundamental', 'indispensable', 'servirán', 'unificar', 'objetivo', 'común', 'lucha', 'opo', 'solo', 'vale', 'pena']",Neutral,0,0,0
"['finalmente', 'negociación', 'debe', 'separarse', 'resto', 'mira', 'solución', 'integral', 'incluye', 'condiciones', 'rescatar', 'democracia', 'derechos', 'políticos', 'llegar', 'presidencial', 'decente', 'requerirá', 'tiempo', 'necesitará', 'anteriores', 'avanzar']",Neutral,0,0,0
"['segundo', 'grupo', 'negociación', 'rápida', 'llega', 'acuerdos', 'sectoriales', 'parciales', 'económicos', 'políticos', 'liberación', 'presos', 'políticos', 'condiciones', 'electorales', 'eventos', 'inmediatos', 'incluyendo', 'regionales', 'flexibilización', 'sanciones']",Neutral,0,0,0
"['ninguno', 'elementos', 'puede', 'colocar', 'condición', 'negociación', 'pues', 'equivalente', 'poner', 'calidad', 'vida', 'moneda', 'cambio']",Neutral,0,0,0
"['acuerdos', 'intercambio', 'petróleo', 'alimentos', 'medida', 'indispensable', 'atender', 'necesidad', 'humanitaria', 'vital', 'gente', 'coma', 'desplace', 'reciba', 'vacunas', 'servicios', 'condicionarse', 'negociación', 'política', 'puede', 'durar', 'meses']",Neutral,0,0,0
"['maduro', 'debe', 'levantar', 'inmediatamente', 'toda', 'barrera', 'entrada', 'ayuda', 'humanitaria', 'empezando', 'vacunas', 'opo', 'debe', 'solicitar', 'levantamiento', 'previo', 'prohibición', 'importación', 'diésel', 'pues', 'limita', 'transporte', 'producción', 'alimentos', 'medicinas', 'ayuda', 'humanitaria']",Neutral,0,0,0
"['oposición', 'usará', 'sanciones', 'parte', 'fundamental', 'poder', 'negociación', 'exigirá', 'quid', 'pro', 'quo', 'cambio', 'si', 'acuerdos', 'parciales', 'cesiones', 'sanciones', 'causado', 'daño', 'gente', 'gobierno', 'deben', 'liberarse']",Neutral,0,0,0
"['indica', 'primer', 'nivel', 'negociación', 'arranca', 'poniendo', 'mesa', 'garantía', 'refrendada', 'internacionalmente', 'nadie', 'participe', 'política', 'hoy', 'amenazado', 'perseguido', 'apresado', 'negocia', 'obtiene', 'negociar']",Neutral,0,0,0
"['puedes', 'negociar', 'libertad', 'participar', 'política', 'hacer', 'oposición', 'necesario', 'negociar', 'puede', 'negociar', 'liberación', 'sanciones', 'limiten', 'necesidades', 'básicas', 'alimentos', 'medicina', 'agua', 'electricidad', 'combustible', 'negocia', 'vida']",Neutral,0,0,0
"['empezar', 'partes', 'deben', 'poner', 'mesa', 'aquello', 'permita', 'ambiente', 'propicio', 'gob', 'dar', 'garantías', 'inmediatas', 'libertad', 'participación', 'política', 'oposición', 'aliados', 'resolver', 'temas', 'humanitarios', 'vacunación', 'alimentación', 'medicinas', 'combustible']",Neutral,0,0,0
"['opo', 'deberá', 'plantear', 'inteligentemente', 'negociación', 'partes', '¿qué', 'necesita', 'previamente', 'comenzar', 'negociación', 'manera', 'estable', '¿qué', 'puede', 'acordar', 'corto', 'plazo', 'intercambiar', 'ello', 'cuáles', 'acuerdos', 'integrales', 'largo', 'plazo']",Neutral,0,0,0
"['¿cuáles', 'retos', 'ahora', 'inicia', 'negociación', 'pues', 'siempre', 'enormes', 'difíciles', 'peligrosos', 'apenas', 'comienza', 'adversario', 'buscará', 'ganar', 'planteando', 'juego', 'suma', 'cero', 'intentará', 'pierda', 'claro', 'puede', 'perder']",Neutral,0,0,0
"['dilema', 'negociar', 'sino', 'replantear', 'lucha', 'horizonte', 'tiempo', 'acorde', 'posibilidades', 'seguir', 'estrategia', 'basada', 'ilusiones', 'falsas', 'pulverizaron', 'esperanzas', 'cambio', 'entrar', 'proceso', 'abren', 'oportunidades', 'cerradas']",Neutral,0,0,0
"['queda', 'claro', 'éxito', 'fracaso', 'negociación', 'oposición', 'terminar', 'maduro', 'gobierno', 'corto', 'plazo', 'fracaso', 'pre', 'cantado', 'sino', 'lograr', 'acuerdos', 'sectoriales', 'parciales', 'mejoren', 'condiciones', 'gente', 'capacidad', 'lucha', 'futura']",Neutral,0,0,0
"['opo', 'acepta', 'entrar', 'negociación', 'sabiendo', 'conseguirá', 'salida', 'rápida', 'maduro', 'busca', 'resolver', 'problemas', 'graves', 'gente', 'arista', 'humanitaria', 're', 'articularse', 'superar', 'irrelevancia', 'condena', 'abstención', 'ausencia', 'resultados']",Neutral,0,0,0
"['claro', 'reconozcan', 'maduro', 'va', 'negociar', 'permanencia', 'gob', 'oposición', 'fuerza', 'obligarlo', 'salir', 'información', 'cambia', 'objetivo', 'medirá', 'éxito', 'fracaso', 'proceso']",Neutral,0,0,0
"['condiciones', 'negociación', 'posibilidades', 'procesos', 'previos', 'aunque', 'garantía', 'ambos', 'gob', 'opo', 'deben', 'dispuestas', 'negociar', 'ocurrió', 'deben', 'reconocer', 'quién', 'contraparte', 'ocurrió', 'deben', 'calibrar', 'expectativas', 'tarea', 'pendiente']",Neutral,0,0,0
"['coordinación', 'dirigido', 'guaido', 'grupo', 'opositores', 'arrancó', 'proceso', 'previo', 'negociación', 'condiciones', 'electorales', 'representado', 'capriles', 'mejor', 'noticia', 'entorno', 'político', 'reciente', 'abre', 'compuertas', 'reales', 'negociación']",Neutral,0,0,0
"['arielmorantes', 'alguien', 'duda', 'destrucción', 'capacidad', 'productiva', 'modelo', 'revolucionario', 'alguien', 'hace', 'responsabilidad', 'gobierno', 'entonces', 'prohibimos', 'importaciones', 'hacemos', 'sufrir', 'gente', 'parece', 'lógico', 'justo']",Neutral,0,0,0
"['negociaciones', 'necesitan', 'partes', 'hagan', 'gesto', 'previo', 'estabilizar', 'ambiente', 'maduro', 'oposición', 'aliados', 'necesitan', 'ceder', 'elementos', 'humanitarios', 'comenzar', 'negociación', 'política', 'resultado', 'mismo', 'siempre', 'encochinamiento']",Neutral,0,0,0
"['negociación', 'política', 'requiere', 'marco', 'estabilidad', 'previa', 'imposible', 'avanzar', 'negociación', 'difícil', 'espinoza', 'mientras', 'gente', 'agrega', 'sufrimiento', 'vida', 'colapsando', 'producción', 'agrícola', 'distribución', 'bienes', 'esenciales', 'diésel']",Neutral,0,0,0
"['abastecimiento', 'diésel', 'vital', 'producción', 'distribución', 'alimentos', 'medicamentos', 'incluso', 'proceso', 'vacunación', 'política', 'humanitaria', 'pueda', 'avanzar', 'combustible', 'diésel', 'tema', 'claramente', 'humanitario', 'puede', 'politizarse']",Neutral,0,0,0
"['obvio', 'negociación', 'política', 'hará', 'base', 'flexibilización', 'sanciones', 'medidas', 'afectan', 'alimentación', 'salud', 'servicios', 'básicos', 'pueden', 'ser', 'colocados', 'mesa', 'negociación', 'puede', 'durar', 'meses', 'si', 'años', 'éticamente', 'inaceptable']",Neutral,0,0,0
"['vzlanos', 'cree', 'unidos', 'debe', 'levantar', 'prohibición', 'importar', 'diésel', 'venezuela', 'países', 'pues', 'cumple', 'objetivo', 'presionar', 'gobierno', 'si', 'amplifica', 'crisis', 'severa', 'vive', 'población', 'amenaza', 'destrucción', 'aparato', 'productivo']",Neutral,0,0,0
"['vzlanos', 'indica', 'prohibición', 'importación', 'diésel', 'través', 'intercambio', 'petróleo', 'creado', 'corre', 'riesgo', 'crear', 'mercado', 'negro', 'diésel', 'genera', 'costos', 'ineficiencias', 'dramáticas', 'consumidores', 'distribuciónn', 'producción', 'bienes']",Neutral,0,0,0
"['ciento', 'venezolanos', 'creen', 'sanción', 'diésel', 'prohibiendo', 'intercambio', 'petróleo', 'producido', 'ningun', 'cambio', 'político', 'país', 'mientras', 'indica', 'si', 'generado', 'escasez', 'transporte', 'alimentos', 'medicinas', 'bienes', 'básicos']",Neutral,0,0,0
"['si', 'quieren', 'politizar', 'allá', 'éticamente', 'inadecuado', 'jugar', 'comida', 'salud', 'energía', 'trabajó', 'gente', 'temo', 'incluso', 'político', 'estrategia', 'negativa', 'pues', 'rechaza', 'sanciones', 'diésel', 'creen', 'afecta', 'vida', 'gob']",Neutral,0,0,0
"['podemos', 'seguir', 'indefinidamente', 'mostrando', 'preocupación', 'desesperación', 'país', 'completo', 'sufriendo', 'carne', 'propia', 'crisis', 'combustible', 'importante', 'abastecimiento', 'productos', 'básicos', 'salud', 'energía', 'agua', '¿de', 'verdad', 'puede', 'politizar', 'proceso']",Neutral,0,0,0
"['¿o', 'mejor', 'oír', 'declaración', 'sector', 'transporte', 'amenazando', 'paralización', 'total', 'actividades', 'protesta', 'escasez', 'severa', 'diésel', 'manipulación', 'precios', 'asignación', 'cuotas']",Neutral,0,0,0
"['podríamos', 'oír', 'pescadores', 'indicar', 'escasez', 'diésel', 'motivos', 'principales', 'destrucción', 'sector']",Neutral,0,0,0
"['quizás', 'necesitamos', 'oír', 'asociación', 'agricultura', 'familiar', 'compartiendo', 'miedo', 'quedarse', 'cero', 'frente', 'escasez', 'evidente', 'diésel']",Neutral,0,0,0
"['si', 'suficiente', 'entender', 'crisis', 'abastecimiento', 'diésel', 'vivimos', 'veamos', 'posición', 'sector', 'agrícola', 'advierte', 'pueden', 'perderse', 'cosechas']",Neutral,0,0,0
"['si', 'revisamos', 'declaraciones', 'principales', 'sectores', 'productivos', 'nacionales', 'podremos', 'entender', 'situación', 'desesperada', 'encuentran', 'riesgo', 'brutal', 'abastecimiento', 'nacional', 'dejemos', 'diga', 'ejemplo', 'sector', 'industrial']",Neutral,0,0,0
"['crisis', 'abastecimiento', 'diésel', 'vzla', 'puede', 'resolver', 'datos', 'simples', 'opiniones', 'sesgos', 'políticos', 'vista', 'pone', 'grave', 'riesgo', 'población', 'abastecimiento', 'alimentos', 'medicinas', 'bienes', 'escenciales', 'producción', 'eléctrica', 'agua']",Neutral,0,0,0
"['gusto', 'siempre', 'compartir', 'sector', 'empresarial', 'caso', 'además', 'queridos', 'amigos', 'fedecamaras', 'zulia', 'dos', 'cotertulios', 'ultra', 'lujo', 'rafaelarraiz', 'ricardocusanno', 'voy', 'pa’', 'maracaibo']",Neutral,0,0,0
"['mil', 'gracias']",Neutral,0,0,0
"['estrategia', 'claro', 'negociación', 'pueden', 'usar', 'dramas', 'humanitarios', 'mecanismo', 'presión', 'usa', 'va', 'entregar', 'sanciones', 'debido', 'quid', 'pro', 'quo”', 'normal', 'comida', 'medicina', 'combustible', 'puede', 'éticamente', 'lista']",Neutral,0,0,0
"['finalmente', 'cuáles', 'sanciones', 'usa', 'considera', 'realmente', 'potentes', 'presionar', 'negociación', 'pondrá', 'mesa', 'zanahorias']",Neutral,0,0,0
"['¿que', 'rol', 'jugarán', 'líderes', 'opositores', 'avanzado', 'presionando', 'participación', 'regionales', 'apoyo', 'internacional', '¿se', 'apartarán', 'entregarán', 'mando', 'guaidó', 'dirija', 'negociación', 'realmente', 'frente', 'capítulo', 'final', 'lucha', 'interna']",Neutral,0,0,0
"['pregunta', '¿qué', 'papel', 'jugará', 'usa', 'frente', 'oposición', 'realmente', 'va', 'acompañando', 'posición', 'guaidó', 'negociar', 'menos', 'elección', 'presidencial', 'innegociable', 'terminará', 'presionando', 'guaidó', 'avanzar', 'negociaciones', 'puntuales', 'destrabar', 'juego']",Neutral,0,0,0
"['realidad', 'guaidó', 'sabe', 'maduro', 'entregará', 'poder', 'pide', 'mecanismo', 'subterfugio', 'mantener', 'rechazo', 'cualquier', 'negociación', 'costo', 'perceptual', 'negarse', 'públicamente']",Neutral,0,0,0
"['pregunta', 'dónde', 'puede', 'llegar', 'negociación', 'guaidó', 'parte', 'pidiendo', 'maduro', 'ofreciendo', 'si', 'requerimiento', '¿está', 'guaidó', 'preparado', 'entender', 'poder', 'negociación', 'pedir', 'dispuesto', 'ceder', 'hacia', 'acuerdos', 'parciales']",Neutral,0,0,0
"['decide', 'entonces', 'guaidó', 'triangular', 'políticamente', 'problema', 'decisión', 'inteligente', 'tratar', 'contrarrestar', 'éxito', 'adversarios', 'internos', 'circunstanciales', 'hace', 'abriéndose', 'negociación', 'directa', 'maduro', 'avance', 'importante', 'pulverizante']",Neutral,0,0,0
"['perfectamente', 'racional', 'decisión', 'considerando', 'respuesta', 'inmediata', 'europa', 'incluso', 'administración', 'biden', 'receptiva', 'gesto', 'maduro', 'negociación', 'guaidó', 'difícil', 'bloquear', 'negociación', 'tener', 'alguna', 'opción', 'alternativa']",Neutral,0,0,0
"['parece', 'evidente', 'decisión', 'autónoma', 'capriles', 'opositores', 'negociar', 'mejoras', 'condiciones', 'electorales', 'incorporación', 'opositores', 'pura', 'sangre', 'cne', 'obligo', 'guaidó', 'abandonar', 'estrategia', 'inicial', 'rechazar', 'cualquier', 'negociación', 'maduro']",Neutral,0,0,0
"['cambio', 'nunca', 'dispuesto', 'entregar', 'cabeza', 'decisión', 'irracional', 'cómo', 'resulta', 'obvio', 'elección', 'presidencial', 'competitiva', 'maduro', 'aceptación', 'equivalente', 'entregar', 'poder', 'probabilidad', 'ahí', 'cero']",Neutral,0,0,0
"['medición', 'fuerzas', 'partes', 'conflicto', 'resulta', 'evidente', 'maduro', 'dispuesto', 'ceder', 'cosas', 'obtener', 'valen', 'cierto', 'reconocimiento', 'flexibilización', 'sanciones', 'rescate', 'relación', 'europa', 'vía', 'contacto', 'usa']",Neutral,0,0,0
"['única', 'manera', 'negociación', 'tipo', 'avance', 'medir', 'exactamente', 'poder', 'negociación', 'adversario', 'calibrar', 'bien', 'puedes', 'lograr', 'fuerza', 'pues', 'si', 'sobredimensionas', 'expectativas', 'único', 'obtendrás', 'frustración']",Neutral,0,0,0
"['segundo', 'aprendizaje', 'podido', 'tener', 'hace', 'tiempo', 'leyendo', 'cualquier', 'libro', 'básico', 'negociaciones', 'puedes', 'exigir', 'esperar', 'adversario', 'salga', 'peor', 'cómo', 'conflicto', 'existencial', 'pues', 'escenario', 'éxito', 'vacío']",Neutral,0,0,0
"['ocurrirá', 'menor', 'duda', 'oposición', 'institucional', 'verá', 'obligada', 'negociar', 'dirigencia', 'regional', 'propios', 'partidos', 'líder', 'natural', 'proclives', 'elección', 'gob', 'alcaldes', 'pues', 'contrario', 'perderán', 'control', 'proceso']",Neutral,0,0,0
"['finalmente', 'parece', 'partes', 'chocaron', 'incómoda', 'realidad', 'estrategia', 'seguida', 'ahora', 'ignorar', 'adversario', 'buena', 'idea', 'terminan', 'entendiendo', 'única', 'manera', 'avanzar', 'aunque', 'lentamente', 'negociar', 'adversario']",Neutral,0,0,0
"['hace', 'fuertes', 'reconocer', 'fragilidad”', 'irene', 'vallejo']",Neutral,0,0,0
"['nadie', 'va', 'negociación', 'esperando', 'quedar', 'peor', 'entró', 'sólo', 'puede', 'ser', 'exitoso', 'si', 'logran', 'acuerdos', 'todas', 'partes', 'sienten', 'ganaron', 'cedieron', 'establecer', 'condición', 'éxito', 'depende', 'destrucción', 'garantía', 'fracaso']",Neutral,0,0,0
"['negociación', 'ruta', 'clave', 'avanzar', 'solución', 'crisis', 'éxito', 'dependerá', 'entender', 'fuerzas', 'partes', 'afinar', 'expectativas', 'puede', 'lograr', 'resulta', 'obvio', 'inicio', 'debe', 'ser', 'acuerdos', 'parciales', 'ganan']",Neutral,0,0,0
"['allá', 'emociones', 'deseos', 'compartidos', 'realidades', 'fuerza', 'capacidad', 'negociación', 'ser', 'perspicaz', 'entender', 'espacios', 'negociar', 'cosas', 'relevantes', 'permitan', 're', 'articulación', 'opositora', 'aún', 'plato', 'principal']",Neutral,0,0,0
"['mayoría', 'vzlanos', 'queremos', 'cambio', 'rescatar', 'democracia', 'reinstitucionalizar', 'obvio', 'opo', 'hoy', 'fuerza', 'suficiente', 'plantear', 'negociación', 'trata', 'deseos', 'sino', 'realidades', 'repetir', 'receta', 'llevará', 'mismo', 'plato', 'vacío']",Neutral,0,0,0
"['¿gana', 'gob', 'cesiones', 'cne', 'claro', 'si', 'si', 'dado', 'capacidad', 'presionarlo', 'hoy', 'nula', '¿o', 'ves', 'amenace', 'distinto', 'dos', 'años', 'pregunta', 'si', 'capaz', 'aprovechar', 'mejor', 'ganas']",Neutral,0,0,0
"['derecho', 'dudar', 'cne', 'siquiera', 'dudo', 'seguro', 'suficiente', 'pregunta', 'si', 'juegas', 'árbitro', 'patuleco', '¿qué', 'haces', 'mismo', 'presidencial', 'parlamentarias', '¿es', 'decir', 'entonces', 'queda', 'claro', 'resultado', '¿o', 'esperas', 'milagros']",Neutral,0,0,0
"['jorgepinturas', 'edurodriguezg', 'entiendo', 'bien', 'necesita', 'capacidad', 'pensamiento', 'abstracto', 'así', 'llama', 'si', 'imposible', 'entenderlo']",Neutral,0,0,0
"['claro', 'ningún', 'líder', 'partido', 'opciones', 'articulación', 'nacional', 'sienta', 'confortable', 'mantener', 'status', 'quo', 'mantiene', 'poder', 'externo', 'maduro', 'poder', 'interno', 'va', 'apoyar', 'elección', 'cne', 'presida', 'josé', 'gregorio', 'hernández']",Neutral,0,0,0
"['¿y', 'participar', 'permitirá', 'oposición', 'sacar', 'maduro', 'poder', 'claro', 'van', 'dejar', 'podrás', 'articular', 'lucha', 'abrir', 'espacio', 'nuevos', 'liderazgos', 'mover', 'gente', 'calle', 'crear', 'disposición', 'lucha', 'bastante', 'quedarte', 'rascándote', 'barriga', 'sofá']",Neutral,0,0,0
"['¿cuál', 'entonces', 'propuesta', 'alternativa', 'si', 'rechaza', 'cualquier', 'participación', 'electoral', 'incluso', 'desventajosa', 'imaginar', 'mismo', 'haberse', 'abstenido', 'ahora', 'quedarse', 'rotundo', 'vacío']",Neutral,0,0,0
"['dicen', 'absurdo', 'votar', 'condiciones', 'desventajosas', 'explican', '¿cuál', 'alternativa', '¿te', 'cuentan', 'cuál', 'resultado', 'abstenerse', 'tener', 'bola', 'cuento', 'ningún', 'líder', 'opositor', 'hoy', 'puntos', 'maduro', 'sigue', 'poder']",Neutral,0,0,0
"['¿es', 'nuevo', 'cne', 'señal', 'condiciones', 'transparentes', 'elecciones', 'equilibradas', 'obvio', 'si', 'flexibilización', 'abre', 'rendijas', 'seguir', 'luchando', 'dilema', 'votar', 'votar', 'sino', 'seguir', 'lucha', 'permitir', 'pasivamente', 'terminen', 'destruirte']",Neutral,0,0,0
